1
sector_size; 2; 3; 4
Mark (7, 1, 3)_0; 0.9996568685419122; 0.9997888895143672; 0.9999218594144406
Mark (17, 1, 5)_0; 0.9999935241511779; 0.9999962126231471; 0.9999989628114546
Mark (31, 1, 7)_0; 0.9999998012963828; 0.9999998871904092; 0.9999999794556486
NTCF (7, 1, 3)_0; 0.9994215298967042; 0.9996488787731536; 0.9998486161592925
NTCF (17, 1, 5)_0; 0.9999917804992223; 0.999994897255608; 0.9999978076247715
NTCF (31, 1, 7)_0; 0.9999998268442438; 0.9999998904031501; 0.9999999526782243

Mark (7, 1, 3)_0; 645; 539; 329
Mark (17, 1, 5)_0; 945; 814; 479
Mark (31, 1, 7)_0; 945; 814; 479
NTCF (7, 1, 3)_0; 1200; 920; 480
NTCF (17, 1, 5)_0; 1950; 1495; 780
NTCF (31, 1, 7)_0; 1950; 1495; 780
